id,Collection Name,Files,File sources,Tags,Dublin Core : Title,Dublin Core : Description,Dublin Core : Creator,Dublin Core : Source,Dublin Core : Publisher,Dublin Core : Date,timestamp,Dublin Core : Contributor,Dublin Core : Rights,Dublin Core : Format,Dublin Core : Type,Dublin Core : Is Part Of,Dublin Core : Is Referenced By,Dublin Core : References,Dublin Core : Medium,Dublin Core : Rights Holder
1990,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/13123fdaa40f33221666ab19990f7a43.jpg; https://bga.uniandes.edu.co/catalogo/files/original/aafc2bc354cfc3a8a253e9e62f24e2e1.jpg; https://bga.uniandes.edu.co/catalogo/files/original/939d7eec30c113c08be019d71f6b35c6.jpg; https://bga.uniandes.edu.co/catalogo/files/original/0d94c5eb9fd44a3a80d56e2f41cb0afb.jpg; https://bga.uniandes.edu.co/catalogo/files/original/ebe3e120270c20503a4f38e9bec18dc3.jpg; https://bga.uniandes.edu.co/catalogo/files/original/11b16ee5a894b5053049a1571ddded21.jpg; https://bga.uniandes.edu.co/catalogo/files/original/dce25fd29710ba3c579ceb24bec918d9.jpg; https://bga.uniandes.edu.co/catalogo/files/original/2dda91b99706ca737eaa3f1106a09f9c.jpg,BG_Fuente Turbay matrimonio 2.jpg; BG_09 Septiembre 1990.jpg; BG_11 Abril 1986.jpg; BG_Fuente Turbay matrimonio 3.jpg; BG_Fuente Turbay matrimonio 1.jpg; BG_Fuente Turbay matrimonio 4.jpg; BG_Fuente Turbay matrimonio 5.jpg; BG_Fuente Turbay matrimonio 6.jpg,,Recorte con la noticia del segundo matrimonio del presidente Julio César Turbay,,,,,,,,,,referente,,,,,
1992,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/0bc9ab6c8cbb969da3e2edd49d8e931d.jpg,BG_Afiche IV Festival de piano.jpg,,Afiche del 4º Festival Internacional de Piano UIS 1987,,,,,,,,,,referente,,,,,
1993,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/3d8a36dcc18202844b2aa2f75b574475.jpg; https://bga.uniandes.edu.co/catalogo/files/original/afae6dead94b7763198bde4906f54eb3.jpg,BG_14 Diciembre 1987.jpg; BG_17 Junio 1988.jpg,,Recortes de periódico con noticias del ascenso a general de tres soles al director de la Policía Nacional  Jose Guillermo Medina y condecoración del general Alfredo Ortega Caicedo.,,,,Periódico EL TIEMPO,Diciembre 1987-Junio 1988,Diciembre 1987-Junio 1988,Fotógrafo: Guillermo Cáceres,,,referente,,,,,
1994,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/1315e479d26f8e1c4f73f1c1f9c27ceb.jpg,BG_12 Junio 1987.jpg,,"Recorte con la noticia de ""Luis Herrera es el rey del ciclismo""",,,,Periódico EL TIEMPO,12/06/1887,1887-12-06T00:00:00Z,Fotógrafo: Enrique Benavidas,,,referente,,,,,
1995,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/65d348588c2cd951541330e1588c5e26.jpg; https://bga.uniandes.edu.co/catalogo/files/original/1a688d45fc8a913497499e06552bf139.jpg,BG_El Destino-La Parca 1.jpg; BG_El Destino-La Parca 2.jpg,,Figurín de cerámica de Ráquira,,,,,,,,,,referente,,,,,
1996,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/90e82ce1110637345a1ad725c39ce638.jpg,BG_BGfuentespalmas.jpg,,"Recorte de periódico con la noticia ""La furia del Joan""",,,,,,,Fotógrafo: William Torres,,,referente,,,,,
1997,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/5bb46b6501851cb3828b0c92a6e55a94.jpg; https://bga.uniandes.edu.co/catalogo/files/original/4643faee68a88c6aebbb3b2efe3d94de.jpg; https://bga.uniandes.edu.co/catalogo/files/original/3d3c800c0fcbdb52382e89058118bd02.jpg,BG_17 Mayo 1987-3.jpg; BG_17 Mayo 1987.jpg; BG_17 Mayo 1987-2.jpg,,"Recortes de periódico con la noticia de la condecoración de ""Lucho"" Herrera por el presidente Virgilio Barco",,,,"Periódico EL TIEMPO
Periódico EL ESPECTADOR",17/05/1987,1987-05-17T00:00:00Z,,,,referente,,,,,
1998,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/ed8ad27390fde2175b3c7f3646a07b5e.jpg,BG_11 Mayo 1987.jpg,,"Recorte de periódico con la noticia del liderato de ""Lucho"" Herrera en la Vuelta a España.",,,,Periódico EL TIEMPO,11/05/1987,1987-11-05T00:00:00Z,,,,referente,,,,,
1999,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/18f62223d92b72ce14dda9103221f7e4.jpg,BG_21 Mayo 1988.jpg,,"Recorte de periódico con la imagen del comandante de la Fuerza Aérea de Colombia, Alfredo Ortega Caicedo, recibiendo su nuevo cargo",,,,Periódico EL TIEMPO,21/05/1988,1988-05-21T00:00:00Z,Fotógrafo: Miguel Díaz,,,referente,,,,,
2000,Referentes,https://bga.uniandes.edu.co/catalogo/files/original/fac17b99addb8d709c41f30ec3c8927d.jpg,BG_18 Mayo 1987.jpg,,"Recorte de periódico con la imagen del regalo del cuadro de la virgen de Chiquinquira a ""Lucho"" Herrera",,,,,10/05/1987,1987-10-05T00:00:00Z,Fotógrafo: Roberto Sánchez,,,referente,,,,,
