obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
152|https://bga.uniandes.edu.co/catalogo/api/items/152|Apuntes para la historia extensa no.1 boceto|1968|35x29.5 cm|Heliograbado sobre papel Edición de 5|122|https://bga.uniandes.edu.co/catalogo/api/items/122|Apuntes para la historia extensa Tomo 1|1967|
125|https://bga.uniandes.edu.co/catalogo/api/items/125|Bocetos apuntes para la historia extensa |2010|100 x 70 cm|Lápiz sobre papel (Ambas caras)|122|https://bga.uniandes.edu.co/catalogo/api/items/122|Apuntes para la historia extensa Tomo 1|1967|
738|https://bga.uniandes.edu.co/catalogo/api/items/738|Ya llegó la fecha II Primer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |742|https://bga.uniandes.edu.co/catalogo/api/items/742|Ya llegó la fecha II |1979|
738|https://bga.uniandes.edu.co/catalogo/api/items/738|Ya llegó la fecha II Primer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |741|https://bga.uniandes.edu.co/catalogo/api/items/741|Ya llegó la fecha II |1979|
738|https://bga.uniandes.edu.co/catalogo/api/items/738|Ya llegó la fecha II Primer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |744|https://bga.uniandes.edu.co/catalogo/api/items/744|Ya llegó la fecha II (pruebas de estado)|1979|
738|https://bga.uniandes.edu.co/catalogo/api/items/738|Ya llegó la fecha II Primer boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |743|https://bga.uniandes.edu.co/catalogo/api/items/743|Ya llegó la fecha II|1979|
739|https://bga.uniandes.edu.co/catalogo/api/items/739|Ya llegó la fecha II Segundo boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |741|https://bga.uniandes.edu.co/catalogo/api/items/741|Ya llegó la fecha II |1979|
739|https://bga.uniandes.edu.co/catalogo/api/items/739|Ya llegó la fecha II Segundo boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |742|https://bga.uniandes.edu.co/catalogo/api/items/742|Ya llegó la fecha II |1979|
739|https://bga.uniandes.edu.co/catalogo/api/items/739|Ya llegó la fecha II Segundo boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |743|https://bga.uniandes.edu.co/catalogo/api/items/743|Ya llegó la fecha II|1979|
739|https://bga.uniandes.edu.co/catalogo/api/items/739|Ya llegó la fecha II Segundo boceto|1979|100 x 70 cm|Tinta sobre papel mantequilla |744|https://bga.uniandes.edu.co/catalogo/api/items/744|Ya llegó la fecha II (pruebas de estado)|1979|
